LotArea,BldgType,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,BsmtFinSF1,BsmtUnfSF,Electrical,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,YrSold,SalePrice
14559,1Fam,1Story,1951,2000,Hip,650,178,SB,1363,1,0,2,6,2,1951,1,288,324,42,0,2009,164900
8480,1Fam,1Story,1945,1950,Gable,700,93,SB,793,1,0,2,4,0,1945,1,240,0,0,0,2009,113000
7626,1Fam,1Story,1952,2005,Hip,931,100,SB,1031,1,0,2,5,0,1952,1,230,0,0,0,2009,145500
9533,1Fam,1Story,1953,1953,Hip,0,0,FA,1210,1,1,2,7,0,1953,1,616,208,0,0,2009,102900
10615,2fmCon,2Story,1900,1970,Gable,440,538,SB,1699,2,0,3,7,0,1920,2,420,0,74,0,2009,95000
11419,1Fam,2Story,1948,1999,Gable,699,0,FA,1527,1,1,3,6,1,1948,2,410,0,0,0,2009,152500
9600,1Fam,1Story,1950,1950,Gable,390,810,SB,1200,1,0,3,6,0,1950,1,246,126,0,0,2009,129900
8000,1Fam,1Story,1948,2002,Gable,680,292,SB,972,1,0,2,5,1,1948,1,240,0,0,0,2009,132000
5470,1Fam,1Story,1958,1958,Gable,0,792,FA,792,1,0,2,4,0,1958,1,366,0,90,0,2009,99900
10410,1Fam,1.5Fin,1916,1987,Gable,0,660,SB,1656,2,1,3,8,0,1916,1,180,0,0,0,2009,135000
10800,1Fam,2Story,1939,2006,Gable,0,676,SB,1352,2,0,4,7,0,1939,2,720,187,0,0,2009,149000
8146,1Fam,2Story,1900,2003,Gable,0,405,SB,1039,1,0,2,6,0,1940,1,281,0,0,0,2009,114000
9022,1Fam,1Story,1924,2006,Gable,0,768,SB,792,1,0,2,5,0,1924,1,240,316,0,0,2009,109500
10230,1Fam,1Story,1925,1950,Gable,0,1054,SB,1078,1,0,3,6,0,1987,1,264,0,0,0,2009,125000
10410,1Fam,1.5Fin,1915,1950,Gable,0,1313,SB,2377,2,0,3,8,1,1954,2,528,0,0,0,2009,142900
7200,1Fam,2Story,1910,2008,Gable,0,560,SB,1690,2,0,4,5,0,2008,2,624,0,0,0,2009,156500
5400,1Fam,1.5Fin,1920,1950,Gable,315,420,SB,1374,1,0,2,6,0,1967,1,338,0,0,0,2009,105000
10800,1Fam,1Story,1920,1950,Gable,0,720,SB,846,1,0,2,4,0,1980,2,576,0,0,0,2009,106000
10800,1Fam,1Story,1890,1998,Gable,0,630,FA,725,1,1,1,4,0,1959,1,320,0,30,0,2009,78500
9671,Duplex,2Story,1969,1969,Gable,0,1248,SB,2544,2,2,6,12,0,1969,3,907,0,0,0,2009,190000
10143,1Fam,1Story,1963,1963,Gable,384,996,SB,1380,1,1,3,6,0,1963,1,364,0,0,0,2009,154000
11500,1Fam,1Story,1967,1967,Gable,872,108,SB,1040,1,0,3,6,1,1967,2,480,0,0,0,2009,163000
11643,Duplex,2Story,1969,1969,Gable,500,748,SB,2634,2,2,6,12,0,1969,4,968,0,0,0,2009,2.00E+05
8010,1Fam,1Story,1958,2007,Hip,745,206,SB,951,1,0,2,6,0,1985,2,480,0,0,0,2009,143500
10454,1Fam,1Story,1957,1957,Hip,546,559,FA,1105,1,0,3,5,0,1957,1,308,0,0,0,2009,135000
8712,1Fam,1Story,1957,2000,Hip,860,132,SB,1306,1,0,2,5,0,1968,1,756,0,0,0,2009,153000
17600,1Fam,1Story,1960,1960,Gable,1270,208,FA,1478,2,0,3,6,2,1960,2,498,0,40,0,2009,157500
9000,1Fam,1Story,1958,1958,Flat,0,160,SB,1142,1,0,2,5,1,1958,1,384,0,28,0,2009,113500
12144,1Fam,1Story,1949,1950,Gable,375,457,SB,1268,1,0,3,6,1,1949,1,288,0,28,0,2009,133000
8544,Duplex,1Story,1950,1950,Gable,0,0,FA,1040,2,0,2,6,0,1987,2,400,0,0,0,2009,92900
8064,1Fam,1.5Fin,1950,1950,Gable,621,174,SB,1133,1,0,3,5,0,1989,2,900,0,0,0,2009,128500
7200,Duplex,1Story,1949,1950,Gable,0,0,FF,1040,2,0,2,6,0,1956,2,420,0,0,0,2009,90000
7200,1Fam,1.5Fin,1950,1982,Gable,180,676,FA,1904,1,1,3,7,0,1950,1,240,0,0,0,2009,138000
7350,1Fam,1Story,1958,1958,Hip,0,1041,SB,1041,1,0,3,6,0,1958,1,294,0,0,0,2009,128000
7560,1Fam,1Story,1958,1965,Hip,504,525,SB,1339,1,0,3,6,0,1958,1,294,0,0,0,2009,139000
7200,1Fam,1Story,1952,1952,Gable,630,0,SB,732,1,0,2,4,0,1952,1,240,0,68,0,2009,118900
8000,1Fam,SLvl,1959,1959,Gable,433,0,SB,1183,1,0,3,6,0,1959,1,288,0,0,0,2009,138000
7931,1Fam,1Story,1959,1959,Hip,1148,0,SB,1148,1,0,3,6,0,1959,1,672,0,0,0,2009,132500
10800,1Fam,1.5Fin,1949,1996,Gable,0,832,FF,1461,2,0,4,6,0,1949,1,384,0,204,0,2009,133500
8064,1Fam,1.5Fin,1948,1994,Gable,120,744,SB,1495,1,0,3,6,0,1994,2,576,180,36,0,2009,135000
7570,1Fam,2Story,1964,1964,Gable,0,780,SB,1806,1,1,4,8,0,1964,2,483,0,55,0,2009,144750
8604,Duplex,SFoyer,1978,1978,Gable,941,0,SB,941,1,0,2,4,0,1978,2,564,0,40,0,2009,145000
7936,1Fam,1Story,1963,1963,Hip,826,219,SB,1045,1,0,3,6,1,1963,1,264,0,0,0,2009,127000
6600,1Fam,1Story,1962,1962,Hip,0,894,SB,894,1,0,2,5,0,1962,1,308,0,0,0,2009,109500
3950,1Fam,1.5Fin,1926,2004,Gable,468,350,SB,1224,1,0,3,5,0,1926,1,210,0,0,0,2009,115000
10440,1Fam,2Story,1910,1981,Gable,0,440,SB,1230,1,1,2,5,0,1966,2,440,74,0,0,2009,110000
4080,1Fam,1.5Fin,1935,1998,Gable,0,901,SB,1378,1,0,3,6,0,1920,1,162,54,0,0,2009,128900
10307,Duplex,2Story,1910,1950,Gable,633,339,FA,1944,2,0,4,12,0,1920,2,324,0,28,0,2009,103500
5720,1Fam,1.5Fin,1941,1950,Gable,0,676,SB,1131,1,1,3,5,0,1941,1,200,26,0,0,2009,66500
15660,1Fam,1.5Fin,1910,2003,Gable,0,240,SB,1306,1,1,3,6,0,1959,2,472,0,0,0,2009,130000
9900,1Fam,2Story,1910,2002,Gable,0,504,SB,1464,2,0,3,7,0,0,0,0,0,0,0,2009,129000
6406,1Fam,2Story,1939,1950,Gable,421,269,FA,1558,1,1,3,7,1,1939,2,400,0,36,0,2009,150000
6600,1Fam,2Story,1892,1965,Gable,0,994,SB,2372,2,0,4,11,0,1985,1,432,0,287,0,2009,107500
7627,2fmCon,2Story,1920,1950,Gable,0,600,SB,1701,2,0,4,8,0,0,0,0,0,0,0,2009,94550
7596,Duplex,2Story,1952,1952,Hip,0,960,SB,1960,2,0,4,10,0,1952,2,400,0,0,0,2009,124500
3378,1Fam,2Story,1946,1992,Gable,0,651,SB,1389,1,1,3,6,2,1947,1,240,0,0,0,2009,135000
10134,1Fam,1.5Fin,1910,1950,Gable,0,801,SB,1447,1,0,3,6,0,0,0,0,80,0,0,2009,103000
6000,2fmCon,1Story,1953,1953,Gable,0,936,SB,936,1,0,2,4,0,1974,2,576,0,32,0,2009,93000
6000,1Fam,1.5Fin,1950,1970,Gable,384,384,FA,1328,1,1,3,6,0,1950,1,308,0,12,0,2009,129500
6000,2fmCon,1.5Fin,1954,1954,Gable,0,811,FA,1387,2,0,3,7,0,1954,1,256,0,0,0,2009,93000
7404,1Fam,1Story,1920,1950,Gable,0,861,SB,861,1,0,2,5,0,1920,2,288,0,0,0,2009,80000
5784,1Fam,1Story,1938,1996,Gable,0,190,FA,886,1,0,2,4,0,1938,1,273,144,20,0,2009,91300
8520,1Fam,1Story,1923,1950,Gable,0,624,SB,792,1,0,2,5,0,1963,1,287,0,0,0,2009,99500
4456,2fmCon,2Story,1920,2008,Gable,0,736,SB,1452,2,0,2,8,0,0,0,0,0,0,0,2009,113000
9600,1Fam,2Story,1910,1950,Gable,0,677,SB,1510,2,0,3,7,0,1974,2,720,0,0,0,2009,87500
3500,1Fam,1.5Fin,1947,1950,Gable,312,408,SB,1284,1,1,2,5,0,1948,1,240,0,35,0,2009,110000
8100,1Fam,2.5Unf,1898,1965,Hip,0,849,FA,2138,2,0,2,11,0,1910,2,360,40,156,0,2009,106000
11700,1Fam,2Story,1880,2003,Mansard,0,1240,SB,2640,1,1,4,8,1,1950,4,864,181,0,0,2009,265979
8400,1Fam,2Story,1900,1950,Gable,0,917,FA,2007,2,0,3,8,0,1930,1,357,0,235,0,2009,160000
3600,1Fam,2Story,1917,2007,Gable,0,624,SB,1288,1,0,3,5,1,1917,1,280,0,103,0,2009,119000
17671,1Fam,2Story,1882,1986,Gable,216,700,SB,1742,1,1,4,8,1,1925,2,424,0,169,0,2009,168000
9000,1Fam,2Story,1920,1988,Hip,624,26,SB,1482,1,0,3,7,0,1930,2,324,0,0,0,2009,143000
7200,1Fam,1Story,1910,2006,Hip,247,310,SB,1022,1,0,2,4,0,1956,1,280,0,30,0,2009,85000
8820,1Fam,1.5Fin,1890,1996,Hip,1088,0,SB,1869,1,0,2,7,0,1963,2,456,48,0,0,2009,124900
5400,1Fam,1.5Fin,1920,1950,Gable,0,972,SB,1480,1,0,3,6,0,1920,1,207,0,0,0,2009,119000
9720,1Fam,2Story,1910,2002,Gable,0,741,SB,1521,1,0,4,8,0,1950,3,640,0,0,0,2009,146500
21384,1Fam,2Story,1923,2004,Gable,1309,15,SB,1576,1,1,3,6,1,1923,2,528,0,312,0,2009,223500
6615,1Fam,1Story,1923,1950,Gable,0,1022,FA,1432,1,0,3,6,1,1923,1,216,266,61,0,2009,149000
7264,1Fam,1.5Fin,1925,2007,Gable,0,952,SB,1548,2,1,3,5,0,1978,2,672,74,0,0,2009,205000
4960,1Fam,1.5Fin,1930,1982,Gable,0,297,SB,1654,2,0,3,7,1,1955,1,336,244,60,0,2009,137000
8854,1Fam,1.5Unf,1916,1950,Gable,0,952,FF,952,1,0,2,4,1,1916,1,192,0,98,0,2009,121000
6000,1Fam,1.5Fin,1936,1950,Gable,672,0,SB,1324,1,0,3,6,0,1936,1,240,0,0,0,2009,128000
6000,1Fam,1.5Fin,1937,2000,Gable,0,698,SB,1176,1,0,2,4,0,1999,2,624,210,0,0,2009,134900
6000,1Fam,1.5Fin,1925,1997,Gable,0,884,SB,1348,1,0,3,5,1,1960,1,216,0,0,0,2009,117000
6000,1Fam,1.5Fin,1939,1950,Gable,0,780,FF,1412,1,0,4,6,1,1939,1,280,45,0,0,2009,132500
6000,1Fam,1.5Fin,1924,1950,Gable,220,248,SB,1142,1,0,3,6,0,1924,1,320,0,0,0,2009,93000
6000,1Fam,1.5Unf,1926,2004,Gable,0,884,SB,904,1,0,2,4,0,1926,1,180,0,0,0,2009,119000
6911,1Fam,1Story,1924,1950,Gable,405,740,SB,1301,1,0,2,5,0,1965,2,440,0,0,0,2009,1.00E+05
6120,1Fam,1.5Fin,1936,1950,Gable,0,927,SB,1539,1,1,3,5,0,1995,2,576,112,0,0,2009,141500
6120,1Fam,1.5Fin,1935,1995,Gable,0,884,SB,1573,1,0,3,6,0,1935,1,240,0,0,0,2009,133000
6120,1Fam,1Story,1931,1993,Gable,209,506,FA,875,1,0,2,5,0,1931,1,180,48,0,0,2009,105000
6120,1Fam,1Story,1925,1999,Gable,0,960,SB,995,1,0,2,5,0,1926,1,264,0,15,0,2009,115000
6120,1Fam,1.5Fin,1938,1950,Gable,273,679,FA,1582,2,0,3,6,1,1938,1,250,189,0,0,2009,150000
8635,1Fam,1Story,1925,1950,Hip,134,938,SB,1072,1,0,2,5,0,1982,5,1184,0,0,0,2009,126500
11888,1Fam,2.5Unf,1916,1994,Gable,0,844,FA,2134,2,0,5,10,0,1930,2,441,0,60,0,2009,214500
11414,1Fam,2Story,1910,1993,Gable,0,728,SB,2019,1,0,3,8,0,1997,2,532,509,135,0,2009,167500
8094,1Fam,2Story,1915,1950,Gable,0,1048,FA,1768,2,0,3,8,0,1930,2,576,0,0,0,2009,155000
2500,1Fam,2Story,1915,2005,Gable,299,611,SB,1826,1,1,4,7,1,1915,1,164,0,0,0,2009,155000
9928,1Fam,2Story,1915,1994,Gable,0,672,SB,1944,2,0,3,8,0,1915,1,216,24,28,0,2009,179900
5520,1Fam,2.5Fin,1912,1950,Gable,0,755,SB,2229,1,0,5,8,0,0,0,0,0,198,0,2009,104000
3000,Duplex,2Story,1922,1950,Hip,0,1040,SB,2128,2,0,4,11,0,0,0,0,0,56,0,2009,62500
6876,1Fam,2Story,1927,1950,Gable,522,198,SB,1930,2,0,4,8,0,1927,1,316,0,0,0,2009,149000
6240,1Fam,1.5Fin,1925,1950,Gable,152,628,FA,1208,1,0,2,5,0,1962,2,539,0,23,0,2009,103000
5775,1Fam,2Story,1915,2002,Gable,0,483,SB,1427,1,0,3,7,0,1915,1,379,0,24,0,2009,123000
5852,2fmCon,2.5Unf,1902,2000,Gable,169,851,FF,1864,2,1,6,9,0,0,0,0,0,188,0,2009,97500
5160,1Fam,1.5Fin,1927,1950,Gable,0,1204,FA,1666,1,0,3,4,0,1927,1,384,0,0,0,2009,135000
5160,1Fam,SFoyer,1923,1950,Hip,749,46,SB,892,1,0,1,5,0,0,0,0,0,0,0,2009,70000
10320,2fmCon,2Story,1915,1965,Gable,276,160,FF,1403,1,1,3,7,0,1915,1,308,0,0,0,2009,116000
4280,1Fam,1Story,1946,2001,Gable,0,560,FA,704,1,0,2,4,0,1946,1,220,0,0,0,2009,88750
10800,Duplex,1Story,1987,1988,Gable,1200,0,SB,1200,3,0,3,5,0,0,0,0,120,0,0,2009,179000
10800,Duplex,1Story,1987,1988,Gable,1200,0,SB,1200,3,0,3,5,0,0,0,0,120,0,0,2009,179000
10547,Duplex,SFoyer,1978,1978,Gable,1152,0,SB,1152,2,0,2,6,0,1960,1,252,0,0,0,2009,159900
6629,1Fam,2Story,1925,1950,Gambrel,551,121,SB,1369,2,0,3,6,0,1930,1,300,147,0,0,2009,103600
9780,1Fam,1.5Fin,1934,1950,Gable,0,585,FA,1112,2,0,4,6,0,1934,1,226,0,0,0,2009,63000
12886,1Fam,SLvl,1963,1999,Gable,444,76,SB,1464,2,0,3,6,1,1997,2,480,302,0,0,2009,175000
8816,1Fam,1Story,1963,1963,Gable,651,470,SB,1121,1,0,3,5,0,1963,2,480,0,80,0,2009,139000
11184,1Fam,2Story,1978,1978,Hip,226,192,SB,1683,2,1,3,7,1,1978,2,440,243,0,0,2009,172500
11625,1Fam,1Story,1967,1967,Hip,527,525,SB,1052,1,1,3,6,1,1984,1,668,0,215,0,2009,113500
7800,1Fam,1Story,1967,2004,Hip,450,414,SB,899,1,0,3,5,0,1967,1,288,64,0,0,2009,130000
8014,1Fam,SFoyer,1978,1978,Gable,456,0,SB,1034,1,0,3,5,1,1978,2,504,0,0,0,2009,149900
7252,1Fam,SFoyer,1982,1982,Hip,685,173,SB,858,1,0,2,5,0,1983,2,576,120,0,0,2009,134900
8740,1Fam,SFoyer,1982,1982,Hip,672,168,SB,860,1,0,2,4,0,1996,2,528,0,0,0,2009,137000
11616,1Fam,1Story,1962,1962,Gable,170,252,SB,1092,1,0,3,6,1,1962,1,288,0,20,0,2009,139000
15400,1Fam,SLvl,1961,1961,Hip,0,552,SB,1774,2,0,4,8,1,1961,1,384,290,40,0,2009,165000
15312,1Fam,SLvl,1960,1960,Hip,588,550,SB,1138,1,0,3,6,1,1960,2,480,0,0,0,2009,148000
15584,1Fam,SLvl,1956,1956,Hip,0,825,SB,2071,1,1,4,9,1,1956,1,336,131,28,0,2009,165000
9000,1Fam,1Story,1947,1950,Gable,0,0,SB,660,1,0,2,5,0,0,0,0,0,0,0,2009,63900
11250,1Fam,1.5Fin,1957,1989,Gable,0,1104,FA,1788,1,0,5,8,2,1957,1,304,120,0,0,2009,161500
25095,1Fam,1Story,1968,2003,Flat,1324,113,SB,1473,1,0,1,5,2,1968,1,452,0,48,0,2009,143000
17140,1Fam,1Story,1956,1956,Gable,1059,75,FA,1229,1,0,3,6,0,1956,1,284,0,0,0,2009,135000
12342,1Fam,1Story,1940,1950,Gable,262,599,SB,861,1,0,1,4,0,1961,2,539,158,0,0,2009,82500
10708,1Fam,1Story,1955,1993,Hip,379,470,FA,1867,1,0,2,7,3,1955,1,303,476,0,0,2009,190000
13680,1Fam,1Story,1955,1955,Hip,0,0,FA,1733,2,0,4,8,1,1955,2,452,0,0,0,2009,139600
15635,1Fam,1Story,1954,1954,Gable,0,0,SB,1383,1,0,2,6,0,1980,2,498,0,0,0,2009,122000
9855,1Fam,1Story,1956,1956,Hip,0,1436,SB,1689,1,0,3,7,1,1956,2,480,0,0,0,2009,127500
9571,1Fam,1Story,1956,1956,Hip,257,816,FA,1073,1,0,2,5,0,1956,1,340,0,0,0,2009,121500
9350,1Fam,2Story,1946,1950,Hip,342,405,SB,1639,1,1,3,6,1,1946,1,240,0,50,0,2009,154400
9340,1Fam,1Story,1941,1950,Hip,344,328,SB,672,1,0,2,4,0,1941,1,234,0,113,0,2009,113000
7440,1Fam,1Story,1954,1954,Gable,173,916,SB,1089,1,0,3,5,1,1954,1,252,328,0,0,2009,125000
11500,1Fam,1Story,1957,1957,Gable,0,0,SB,845,1,0,3,5,0,1957,1,290,186,0,0,2009,84000
4235,TwnhsE,1Story,1984,1984,Gable,552,104,SB,1049,2,0,2,5,0,1984,1,266,0,105,0,2009,139500
11409,1Fam,1.5Fin,1949,2008,Gable,292,476,SB,1716,1,1,3,8,1,1949,1,281,0,0,0,2009,131000
9060,1Fam,1.5Fin,1939,1950,Gable,204,356,SB,1258,1,0,2,6,0,1939,1,280,0,0,0,2009,105000
9084,1Fam,2Story,1940,1950,Gable,0,755,SB,1510,1,0,4,7,1,1940,1,296,120,0,0,2009,108000
10778,1Fam,SLvl,1990,1991,Gable,460,308,SB,1061,1,1,1,4,0,1990,2,462,114,36,0,2009,162000
19255,1Fam,SLvl,1983,1983,Gable,70,0,SB,1338,1,1,2,5,1,1983,2,576,0,0,0,2009,156500
12327,1Fam,1.5Fin,1983,2009,Gable,1441,55,SB,2132,1,1,1,5,1,1983,2,612,349,40,0,2009,316600
14684,1Fam,1Story,1990,1991,Hip,485,1496,SB,2196,2,0,3,7,1,1990,3,701,84,70,0,2009,271900
9317,1Fam,2Story,1993,1993,Gable,513,227,SB,1775,2,1,3,7,1,1993,2,425,234,72,0,2009,213000
10560,1Fam,2Story,1993,1994,Gable,474,605,SB,1879,2,1,3,8,1,1993,2,473,400,100,0,2009,239900
9828,1Fam,2Story,1995,1995,Gable,584,544,SB,2020,2,1,3,8,1,1995,2,466,0,155,0,2009,239500
26400,1Fam,2Story,1880,2007,Gable,0,0,SB,2016,1,0,4,7,1,1900,2,576,0,0,0,2009,131000
7018,Duplex,1Story,1979,1979,Gable,0,0,SB,1535,2,0,4,8,0,1979,2,410,0,0,0,2009,118964
7018,Duplex,SFoyer,1979,1979,Gable,1086,0,SB,1224,0,2,2,6,2,1979,2,528,120,0,0,2009,153337
7018,Duplex,2Story,1979,1979,Gable,0,0,SB,2228,2,0,6,8,0,1979,2,720,73,0,0,2009,147983
7018,Duplex,1Story,1979,1979,Gable,0,0,SB,1535,2,0,4,8,0,1979,2,400,0,0,0,2009,118858
7018,Duplex,1Story,1979,1979,Gable,0,0,SB,1535,2,0,4,8,0,1979,2,400,0,0,0,2009,118858
7018,Duplex,2Story,1979,1979,Gable,0,0,SB,2240,2,0,6,12,0,1979,2,528,154,0,0,2009,142953
7040,Duplex,SFoyer,1979,1979,Gable,1094,0,SB,1229,0,2,2,6,2,1979,2,672,120,0,0,2009,148325
7007,Duplex,1Story,1979,1979,Gable,0,0,SB,1513,2,0,4,8,0,1979,2,400,0,0,0,2009,113722
11855,Duplex,2Story,2000,2000,Hip,820,348,SB,2787,4,2,6,8,2,2000,4,820,312,0,0,2009,269500
7939,Duplex,2Story,2000,2000,Hip,820,348,SB,2787,4,2,6,8,2,2000,4,820,312,0,0,2009,269500
7976,Duplex,2Story,2000,2000,Hip,820,348,SB,2787,4,2,6,8,2,2000,4,820,312,0,0,2009,269500
10933,1Fam,1Story,2009,2009,Hip,1021,534,SB,1680,1,1,1,8,1,2009,3,1138,185,24,0,2009,323262
10637,1Fam,1Story,2007,2008,Hip,1288,417,SB,1718,2,0,3,7,1,2007,3,826,208,44,0,2009,297000
10226,1Fam,1Story,2008,2008,Gable,0,1622,SB,1630,2,0,3,8,1,2008,3,860,172,42,0,2009,295493
10816,1Fam,1Story,2008,2008,Gable,1104,616,SB,1720,2,0,3,8,1,2008,3,846,208,104,0,2009,332000
9178,1Fam,1Story,2008,2008,Gable,0,1468,SB,1468,2,0,3,6,1,2008,3,904,192,142,0,2009,239900
10769,1Fam,2Story,2007,2007,Gable,20,846,SB,1768,2,1,3,7,0,2007,2,578,144,105,0,2009,212000
11422,1Fam,1Story,2007,2008,Hip,1359,479,SB,1838,2,0,3,7,2,2007,2,524,154,222,0,2009,272500
11923,1Fam,1Story,2007,2007,Gable,0,1800,SB,1800,2,0,2,7,0,2007,2,702,288,136,0,2009,239000
8814,1Fam,1Story,2006,2006,Gable,1334,270,SB,1604,2,1,3,8,1,2006,2,660,123,110,0,2009,220000
6762,1Fam,1Story,2007,2007,Gable,902,380,SB,1290,2,0,2,6,1,2007,2,662,168,0,0,2009,2.00E+05
10324,1Fam,1Story,2008,2008,Gable,872,382,SB,1254,2,0,2,5,0,2008,3,810,168,92,0,2009,221800
7314,1Fam,1Story,2007,2007,Gable,724,508,SB,1232,2,0,2,6,0,2007,2,632,132,0,0,2009,194500
11645,1Fam,1Story,2005,2006,Gable,24,1474,SB,1498,2,0,3,7,1,2005,3,844,144,98,0,2009,237000
11646,1Fam,2Story,2005,2006,Gable,0,704,SB,1422,2,1,3,7,1,2005,2,440,36,28,0,2009,173000
12800,1Fam,SLvl,1989,1989,Gable,1518,0,SB,1644,2,0,2,5,1,1989,2,569,80,0,0,2009,275000
16698,1Fam,2Story,1992,1993,Gable,800,649,SB,1759,2,1,3,7,1,1992,2,525,150,193,0,2009,233500
28698,1Fam,2Story,1967,1967,Flat,249,0,SB,2126,2,1,3,7,0,1967,2,538,486,0,0,2009,185000
12464,1Fam,1Story,1996,1996,Gable,732,308,SB,1040,1,0,3,6,0,2000,2,576,168,0,0,2009,152000
9757,1Fam,1Story,1994,1994,Gable,755,235,SB,990,1,0,3,5,0,1995,1,440,66,0,0,2009,143000
15426,1Fam,2Story,1997,1997,Gable,821,107,SB,1764,2,1,3,7,0,1997,2,470,276,99,0,2009,231500
10667,1Fam,2Story,1996,1996,Gable,385,70,SB,1661,2,1,3,6,1,1996,2,550,158,61,0,2009,212000
14753,1Fam,1Story,1998,1998,Gable,950,513,SB,1463,2,0,3,5,0,1998,2,539,0,81,0,2009,207000
10859,1Fam,1Story,1994,1995,Gable,0,1097,SB,1097,1,1,3,6,0,1995,2,672,392,64,0,2009,145000
8072,1Fam,1Story,1994,1995,Gable,746,244,SB,990,1,0,3,5,0,2000,2,480,0,64,0,2009,138000
10400,1Fam,2Story,1998,1998,Gable,0,866,SB,1779,2,1,3,6,0,1998,2,546,198,36,0,2009,197900
10335,1Fam,1Story,1999,1999,Gable,679,811,SB,1501,2,0,3,6,0,1999,2,577,144,29,0,2009,204000
9017,1Fam,1Story,1999,1999,Gable,560,871,SB,1431,2,0,3,6,0,1999,2,666,0,35,0,2009,192000
8750,1Fam,2Story,1998,1998,Gable,606,322,SB,1772,2,1,3,7,1,1998,2,492,150,96,0,2009,2.00E+05
8935,1Fam,2Story,2002,2002,Gable,0,831,SB,1660,2,1,3,7,0,2002,2,493,144,68,0,2009,195000
9808,1Fam,1Story,2002,2002,Gable,788,785,SB,1573,2,0,3,6,0,2002,2,544,0,72,0,2009,227000
12420,1Fam,2Story,2001,2001,Gable,666,278,SB,1840,2,1,3,6,0,2001,2,622,0,45,0,2009,230000
16285,1Fam,1Story,2001,2002,Gable,0,1413,SB,1430,2,0,3,6,0,2001,2,605,0,33,0,2009,187100
10739,1Fam,1Story,2002,2001,Gable,1259,172,SB,1444,2,0,3,6,0,2002,2,577,144,40,0,2009,203000
11166,1Fam,1Story,2001,2001,Gable,24,1468,SB,1492,2,0,3,6,1,2001,2,608,0,114,0,2009,201000
8430,1Fam,1Story,1978,1978,Gable,616,424,SB,1040,2,0,3,5,0,0,0,0,0,0,0,2009,124000
16269,1Fam,1Story,1978,1978,Gable,625,282,SB,907,1,0,3,5,0,1978,1,343,72,0,0,2009,140000
6950,1Fam,1Story,1979,1979,Gable,710,132,SB,914,1,0,2,5,0,1979,2,444,0,0,0,2009,134900
8800,1Fam,1Story,1977,2008,Gable,532,364,SB,1040,2,0,3,5,0,1977,2,484,0,0,0,2009,150500
7000,1Fam,1Story,1978,2005,Gable,646,218,SB,864,1,0,3,6,0,1978,1,336,0,0,0,2009,136500
9286,1Fam,1Story,1977,1989,Gable,196,1072,SB,1268,1,1,3,5,0,1978,1,252,173,0,0,2009,143500
15523,1Fam,1Story,1972,1972,Gable,460,404,SB,864,1,0,3,5,1,1972,1,338,0,0,0,2009,133500
7200,1Fam,1Story,1972,1972,Hip,777,117,SB,894,1,0,2,6,0,1985,2,600,215,0,0,2009,123000
7200,1Fam,SFoyer,1972,2003,Gable,660,108,SB,768,1,0,2,5,0,1974,1,396,192,0,0,2009,133900
8445,1Fam,SFoyer,1972,2007,Gable,656,112,SB,768,1,0,2,5,0,1988,2,396,58,0,0,2009,133000
11664,1Fam,1Story,2002,2002,Hip,1234,335,SB,1611,2,0,3,6,0,2002,3,1231,262,93,0,2009,250000
12334,1Fam,2Story,2003,2003,Gable,0,1068,SB,2184,2,1,4,8,1,2003,2,570,192,132,0,2009,254750
11838,1Fam,1Story,2001,2001,Hip,0,1753,SB,1788,2,0,3,7,1,2001,2,522,202,151,0,2009,236500
11885,1Fam,2Story,2001,2001,Gable,990,309,SB,1872,2,1,3,7,1,2001,2,531,160,122,0,2009,261500
11050,1Fam,2Story,2000,2000,Hip,904,536,SB,2153,2,1,3,8,2,2000,3,736,253,142,0,2009,313000
11250,1Fam,2Story,2001,2001,Gable,0,944,SB,1870,2,1,3,6,0,2001,2,608,256,43,0,2009,211000
15750,1Fam,1Story,1999,2000,Gable,1246,216,SB,1513,2,0,2,5,1,1999,2,521,135,34,0,2009,220000
11883,1Fam,1Story,1996,1996,Hip,690,814,SB,1504,2,0,3,6,1,1996,2,478,115,66,0,2009,203000
12782,1Fam,1Story,2002,2003,Hip,1360,462,SB,1828,2,0,3,7,1,2002,2,523,194,144,0,2009,279500
8750,1Fam,1Story,1997,1998,Gable,1111,306,SB,1417,2,0,3,7,1,1997,2,511,60,0,0,2009,210000
9375,1Fam,2Story,1997,1998,Gable,739,318,SB,2034,2,1,3,8,0,1998,2,645,576,36,0,2009,219500
8750,1Fam,2Story,1996,1996,Gable,0,880,SB,1716,2,1,2,7,1,1996,2,512,0,120,0,2009,191000
9100,1Fam,1Story,2001,2001,Gable,0,1212,SB,1212,2,0,3,6,0,2001,2,573,356,0,0,2009,178000
9750,1Fam,1Story,2000,2001,Gable,0,1630,SB,1630,2,0,3,6,1,2000,2,451,74,234,0,2009,213000
4435,TwnhsE,1Story,2003,2004,Gable,685,163,SB,848,1,0,1,4,0,2003,2,420,140,0,0,2009,144000
4435,TwnhsE,1Story,2003,2003,Gable,685,163,SB,848,1,0,1,4,0,2003,2,420,140,0,0,2009,140000
